Date,Turbidity(NTU),TDS(mg/l),Chloride(mg/L),Conductivity(ms/cm),Salinity (%)
03/01/22,156.83,183.57,52.27,375.37,0.22
03/02/22,270.9292857,310.8230952,138.7345238,629.1867857,0.36
03/03/22,341.7690323,950.2397372,441.3447619,1924.020557,1.039792743
03/04/22,502.1353333,1583.427146,691.9527778,3232.31666,1.772764457
03/05/22,432.1174194,1298.605287,613.8623656,2651.396454,1.427913082
03/06/22,356.1873333,1060.554114,496.92,2163.357619,1.165637698
03/07/22,319.416129,879.4296774,444.3748387,1794.032258,0.97
03/08/22,415.6294163,457.0403994,212.9742704,931.8452381,0.513282642
03/09/22,409.6166667,200.6866667,60.67,409.01,0.245233333
03/10/22,299.9428571,208.25,68.35714286,424.3928571,0.253214286
03/11/22,348.5533333,301.5833333,110.7833333,615.5,0.347166667
03/12/22,313.6913978,330.516129,117.0806452,665.4247312,0.372634409
03/01/23,273.0091398,389.2204301,139.5591398,793.6908602,0.437822581
03/02/23,432.0708333,796.4196429,378.5238095,1595.113095,0.876845238
03/03/23,439.4936368,1575.146806,827.1998166,3212.072451,1.744344499
03/04/23,397.7629598,1671.016855,871.1473591,3396.765229,1.849916685
03/05/23,422.9049571,1857.135165,974.6672929,3779.700996,2.058036523
03/06/23,266.9905198,1463.191419,771.949787,2985.519922,1.591691492
03/07/23,283.3405914,792.9837814,389.5907706,1617.483513,0.870935484
03/08/23,332.0233333,496.6961111,229.8805556,1015.072222,0.559811111
03/09/23,275.326,295.0033333,115.365,601.2816667,0.3429
03/10/23,258.6274194,171.1086022,52.40215054,348.333871,0.218446237
03/11/23,194.7082222,312.2727778,115.7138889,636.9911111,0.360727778
03/12/23,132.3150538,261.333871,80.86666667,532.6876344,0.306252688
03/01/24,169.7143548,325.3903226,110.8532258,663.3645161,0.371112903
03/02/24,235.9263793,577.243908,250.3344828,1177.206322,0.636258621
03/03/24,401.6900358,1566.491039,849.6202509,3196.351523,1.740795699
03/04/24,371.3126204,2051.474259,1156.034815,4185.768056,2.285636111
03/05/24,328.8784908,2309.939337,1339.678866,4712.534562,2.584080261
03/06/24,198.4301786,1313.651786,764.1126984,2665.559325,1.449636905
03/07/24,210.9847734,690.1128648,363.8483103,1407.579339,0.762670123
03/08/24,291.4647312,159.8443548,47.4561828,328.8384409,0.183486559
03/09/24,190.7,129.11,31.14,268.65,0.13
03/10/24,163.85,140.82,36.48,292.88,0.14
03/11/24,111.16,178.3,44.43,368.73,0.18
03/12/24,105.03,255.54,66.4,520.05,0.25
03/01/25,119.4250538,286.7462366,74.74569892,557.6973118,0.508446237
03/02/25,191.8034127,703.79,290.3571429,1348.583571,0.69735
03/03/25,364.4912903,2030.813871,966.4019355,3685.853548,2.082190323
03/04/25,328.093,2798.267333,1345.957667,4998.816,2.86631
03/05/25,242.2109677,1973.634091,949.2881818,3584.377273,1.995272727
,,,,,
,,,,,
